No 10-K found for VIMC in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for VIMC in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for VIMC in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for APV1 in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for APV1 in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for APV1 in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for HRZ in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for HRZ in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for SHMR in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for SHMR in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for SHMR in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for SCOP in range [2008-01-01T00:00:00 TO 2009-01-01T00:00:00]
No 10-K found for SCOP in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for SCOP in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for DBTK in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for OMRI in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for OMRI in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for OMRI in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for AVRW in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for AVRW in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for AVRW in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for AER in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for AER in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for AER in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for NHWK in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for REST in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for REST in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for REST in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for NEXT in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for NEXT in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for NEXT in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for RNIN in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for RNIN in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for RNIN in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for ETE in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for ETE in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for ETE in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for IOMI in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for IOMI in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for IOMI in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for QMNDQ in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
No 10-K found for QMNDQ in range [2010-01-01T00:00:00 TO 2011-01-01T00:00:00]
No 10-K found for QMNDQ in range [2011-01-01T00:00:00 TO 2012-01-01T00:00:00]
No 10-K found for CEDCQ in range [2009-01-01T00:00:00 TO 2010-01-01T00:00:00]
